Name,SMILE
 ,CCC(C)C1NC(=O)C(SCc2cccc(C(F)(F)F)c2)C1=O
,CCC(C)C1NC(=O)C(SCc2ccco2)C1=O
,CCC(C)C1NC(=O)C(SCC(=O)NCc2ccc3c(c2)OCO3)C1=O
,O=C1NC(Cc2ccccc2)C(=O)C1SCc1ccco1
,O=C1OC(c2ccccc2)C(=O)C1Sc1ccccc1
,O=C1OC(c2ccccc2)C(=O)C1SCCc1ccccc1
,O=C1OC(CCc2ccccc2)C(=O)C1Sc1ccccc1
,O=C1OC(CCc2ccccc2)C(=O)C1SCc1cccc(C(F)(F)F)c1
,O=C1CN(Cc2cccc(C(F)(F)F)c2)C(=O)C1Sc1ccccc1
,COc1ccc(CN2CC(=O)C(Sc3ccccc3)C2=O)cc1
,O=C1CN(Cc2ccccc2)C(=O)C1SCc1cccc(C(F)(F)F)c1
,O=C1CN(CCc2ccccc2)C(=O)C1SCc1cccc(C(F)(F)F)c1
,O=C1CN(Cc2cccc(C(F)(F)F)c2)C(=O)C1SCc1cccc(C(F)(F)F)c1
,O=C1CN(Cc2ccc3c(c2)OCO3)C(=O)C1SCc1cccc(C(F)(F)F)c1
,COc1ccc(CN2CC(=O)C(SCc3cccc(C(F)(F)F)c3)C2=O)cc1
,O=C1CN(Cc2ccccc2)C(=O)C1SCCc1ccccc1
,O=C1CN(CCc2ccccc2)C(=O)C1SCCc1ccccc1
,O=C1CN(Cc2cccc(C(F)(F)F)c2)C(=O)C1SCCc1ccccc1
00263001.cdx,Cc1nc(-c2cccc(-c3cc(F)c([C@]4(C)CS(=O)(=O)N(C)C(=N)N4)s3)c2)no1
00264001.cdx,CN1C(=N)N[C@](C)(c2cc(-c3cc(F)cc(-c4nnco4)c3)cs2)CS1(=O)=O
00265001.cdx,CN1C(=N)N[C@](C)(c2sc(-c3cccc(-c4noc(C5CC5)n4)c3)cc2Cl)CS1(=O)=O
00266001.cdx,CN1C(=N)N[C@](C)(c2sc(-c3cccc(-c4noc(C5CC5)n4)c3)cc2F)CS1(=O)=O
00279001.cdx,CN1C(=N)N[C@](C)(c2sc(-c3cccc(-c4ncon4)c3)cc2Cl)CS1(=O)=O
00280001.cdx,CN1C(=N)N[C@](C)(c2sc(-c3cccc(-c4ncon4)c3)cc2F)CS1(=O)=O
00281001.cdx,CN1C(=N)N[C@](C)(c2sc(-c3cccc(-c4ncno4)c3)cc2F)CS1(=O)=O
00282001.cdx,Cc1noc(-c2cc(-c3cc(Cl)c([C@]4(C)CS(=O)(=O)N(C)C(=N)N4)s3)ccn2)n1
00283001.cdx,Cc1noc(-c2cc(-c3cc(F)c([C@]4(C)CS(=O)(=O)N(C)C(=N)N4)s3)ccn2)n1
