Name,SMILE
,COc1cc(OC)c2c(c1)Oc1ncnc(Nc3cccc(Br)c3)c1NC2
,Fc1ccc(Nc2ncnc3c2NCc2cc(Br)ccc2O3)cc1Cl
,Fc1ccc2c(c1)CNc1c(Nc3ccc(F)c(Cl)c3)ncnc1O2
,Fc1ccc2c(c1)CNc1c(Nc3cccc(-c4ccccc4)c3)ncnc1O2
,Fc1ccc2c(c1)CNc1c(Nc3cccc(Br)c3)ncnc1O2
,Brc1cccc(Nc2ncnc3c2NCc2ccccc2O3)c1
,Brc1ccc2c(c1)CNc1c(Nc3ccccc3)ncnc1O2
,COc1ccc2c(c1)CNc1c(NCc3ccccc3)ncnc1O2
,COc1ccc2c(c1)CNc1c(Nc3cccc(-c4ccccc4)c3)ncnc1O2
,C=CC(=O)Nc1ccc2c(c1)CNc1c(Nc3cccc(Br)c3)ncnc1O2
,Fc1ccc(Nc2ncnc3c2NCc2cc(Cl)ccc2O3)cc1Cl
,COc1ccc2c(c1)CNc1c(Nc3cccc(Br)c3)ncnc1O2
,COc1ccc2c(c1)CNc1c(Nc3ccccc3)ncnc1O2
,Fc1ccc(Nc2ncnc3c2NCc2cc(Cl)ccc2O3)cc1Cl
,Fc1ccc2c(c1)CNc1c(NCc3ccccc3)ncnc1O2
,COc1cccc2c1CNc1c(Nc3cccc(Br)c3)ncnc1O2
,C=CC(=O)Nc1ccc2c(c1)CNc1c(Nc3ccc(F)c(Cl)c3)ncnc1O2
,Brc1cccc(Nc2ncnc3c2NCc2cc(Br)ccc2O3)c1
,CS(=O)(=O)Nc1ccc2c(c1)CNc1c(Nc3cccc(Br)c3)ncnc1O2
,Fc1ccc2c(c1)CNc1c(Nc3ccc(F)c(Cl)c3)ncnc1O2
,O=C(O)c1ccc2c(c1)CNc1c(Nc3cccc(Br)c3)ncnc1O2
,Fc1ccc(Nc2ncnc3c2NCc2ccccc2O3)cc1Cl
,Nc1ccc2c(c1)CNc1c(Nc3ccc(F)c(Cl)c3)ncnc1O2
,COc1ccc2c(c1)CNc1c(NCc3ccccc3)ncnc1O2
