Name,SMILE
,CC(=O)CNC(=O)[C@H](CC(=O)O)NC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)[C@H](CO)NC(=O)[C@H](Cc1cnc[nH]1)NC(=O)[C@@H]1CSSC[C@H](NC(=O)[C@@H](NC(=O)[C@H](Cc2ccc(O)cc2)NC(=O)[C@@H]2CCCN2C(=O)[C@H](CC(=O)O)NC(=O)[C@@H]2CCCN2C(=O)[C@H](CCC(=O)O)NC(=O)CNC(=O)CNC(=O)CN)[C@@H](C)O)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](Cc2c[nH]c3ccccc23)C(=O)N[C@@H](Cc2c[nH]c3ccccc23)C(=O)N2CCC[C@H]2C(=O)N[C@@H](Cc2ccc(O)cc2)C(=O)N[C@@H](Cc2ccc(O)cc2)C(=O)N[C@@H](CCCN=C(N)N)C(=O)N[C@@H](CC(C)C)C(=O)N2CCC[C@H]2C(=O)N[C@@H](CO)C(=O)N1
,CC(C)C[C@H](NC(=O)[C@@H]1CCCN1C(=O)[C@H](CO)NC(=O)[C@H](CS)NC(=O)[C@H](Cc1cnc[nH]1)NC(=O)[C@H](CO)NC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)[C@@H](CC(=O)O)NC(=O)CN)C(=O)N[C@@H](CCCN=C(N)N)C(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)N1CCC[C@H]1C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CS)C(=O)N[C@H](C(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CC(=O)O)C(=O)N1CCC[C@H]1C(=O)O)[C@@H](C)O
,CC(C)CC(NC(Cc1ccccc1)NP(=O)([O-])CNC(=O)CCc1ccccc1)C(=O)O
,C[C@H](N[C@@H](CCc1ccccc1)C(=O)O)C(=O)N1CCC[C@H]1C(=O)O
,CC(C)CC(NC(=O)C(Cc1ccccc1)NP(C)([O-])=S)C(=O)[O-]
,CC(=O)NCP(=O)([O-])NC(Cc1ccccc1)NC(CC(C)C)C(=O)O
,CC(C)CC(NC(Cc1ccccc1)NP(=O)([O-])CNC(=O)[C@H](C)NC(=O)C(N)Cc1ccc(O)cc1)C(=O)O
,CC(C)CC(NC(Cc1ccccc1)NP(=O)([O-])CNC(=O)CNC(=O)C(N)Cc1ccc(O)cc1)C(=O)O
,CC(C)CC(NC(Cc1ccccc1)NP(=O)([O-])CNC(=O)Cc1ccccc1)C(=O)O
,CCOP(=O)(CNC(C)=O)NC(Cc1ccccc1)NC(CCSC)C(=O)[O-]
,CSCCC(NC(Cc1ccccc1)NP(=O)([O-])CNC(C)=O)C(=O)O
,CC(C)CC(NC(Cc1ccccc1)NP(=O)([O-])CNC(=O)c1ccccc1)C(=O)O
